"","Day","Hr","Temp","KWH"
"239","12/10/2014",19,39.02,125.664565194701
"240","12/10/2014",20,39.14,43.0572924394411
"241","12/10/2014",21,37.94,41.3663462246085
"242","12/10/2014",22,39.02,40.4958374169699
"243","12/10/2014",23,39.02,39.2367003638183
"244","12/11/2014",0,39.14,69.0426053396766
"245","12/11/2014",1,39.155,67.788865901046
"246","12/11/2014",2,37.94,66.0925220716924
"247","12/11/2014",3,37.94,64.8333850185408
"248","12/11/2014",4,37.04,63.2503910941284
"249","12/11/2014",5,35.96,61.6026257954639
"250","12/11/2014",6,35.06,60.0196318710515
"251","12/11/2014",7,35.33,140.248968497554
"252","12/11/2014",8,35.33,138.989831444403
"253","12/11/2014",9,34.43,137.40683751999
"254","12/11/2014",10,33.98,135.985772031208
"255","12/11/2014",11,33.89,134.694249290931
"256","12/11/2014",12,33.656,133.350909451251
"257","12/11/2014",13,33.86,132.165179955586
"258","12/11/2014",14,33.86,130.906042902434
"259","12/11/2014",15,33.98,129.690086765451
"260","12/11/2014",16,33.89,128.398564025173
"261","12/11/2014",17,33.98,127.171812659147
"262","12/11/2014",18,33.08,125.588818734735
"263","12/11/2014",19,33.08,124.329681681583
"264","12/11/2014",20,32,41.2905997646429
"265","12/11/2014",21,32,40.0314627114914
"266","12/11/2014",22,32,38.7723256583398
"267","12/11/2014",23,32,37.5131886051882
"268","12/12/2014",0,32,67.2759126648784
"269","12/12/2014",1,30.92,65.6281473662138
"270","12/12/2014",2,30.92,64.3690103130623
"271","12/12/2014",3,30.92,63.1098732599107
"272","12/12/2014",4,30.92,61.8507362067592
"273","12/12/2014",5,32,60.9802273991206
"274","12/12/2014",6,32,59.721090345969
"275","12/12/2014",7,32,139.853269911093
"276","12/12/2014",8,33.98,139.306617974716
"277","12/12/2014",9,35.06,138.436109167077
"278","12/12/2014",10,36.32,137.630371733691
"279","12/12/2014",11,35.96,136.241691932035
"280","12/12/2014",12,37.04,135.371183124396
"281","12/12/2014",13,37.67,134.338745881127
"282","12/12/2014",14,37.94,133.176765889354
"283","12/12/2014",15,37.94,131.917628836202
"284","12/12/2014",16,37.04,130.33463491179
"285","12/12/2014",17,35.96,128.686869613125
"286","12/12/2014",18,36.68,127.686818056983
"287","12/12/2014",19,35.33,125.94189569694
"288","12/12/2014",20,33.98,42.805656718621
